OfferDetails,FaceValue,Product
"SAVE $1.00 ONE Gain Flings 12 ct TO 26 ct OR Gain Liquid Laundry Detergent (Includes Gain Botanicals and Gain Essential Oils) OR Gain Powder Laundry Detergent (excludes Gain Ultra Flings, Gain Fabric Enhancers, Gain Fireworks, Gain Flings 9 ct and trial/travel size).",$1.00,"(1.00, 12, 26, Gain Ultra Flings, Gain Fireworks, 9)"
"SAVE $1.00 ONE Crest Toothpaste 3 oz or more (excludes 4.6 oz Crest Cavity, Regular, Base Baking Soda, Tartar Control/Protection, F&amp;W Pep Gleem, Gum Detoxify and Gum Enamel variants, Whitening Therapy variants, Kids and trial/travel size).",$1.00,"(1.00, Crest, Crest Cavity, Tartar Control/Protection, F&amp;W Pep Gleem, Gum Enamel)"
"SAVE $2.00 ONE Tide Laundry Detergent (excludes Tide Purclean Laundry Detergent, Studio by Tide Laundry Detergent, Tide PODS, Tide Rescue, Tide Simply Laundry Detergent, Tide Simply PODS, Tide Detergent 10 oz and trial/travel size).",$2.00,"(2.00, Tide Purclean Laundry Detergent, Tide, Tide, Tide, 10)"
$2.00 OFF any TWO (2) Starbucks® Nitro Cold Brew (9.6 oz can) or Starbucks® Frappucino (13.7 oz bottle) - mix and match,$2.00,"(2.00, TWO, 2, Nitro Cold Brew, 9.6, Starbucks, Frappucino, 13.7)"
"SAVE $1.00 ONE Downy Liquid Fabric Conditioner 48ld to 60ld (Includes Downy Odor Protect 32oz OR Downy Wrinkle Guard 25oz OR Downy Nature Blends 44 oz) OR Bounce/Downy Sheets 70ct to 120ct(Includes Bounce/Downy Wrinkle Guard 40ct to 60ct) OR In Wash Scent Boosters 5.7oz (includes Downy Unstopables, Fresh Protect, Odor Protect, and Infusions) OR Bounce Rapid Touch-up 3 in 1 Spray OR Downy Wrinkle Releaser Spray (excludes Downy Libre Enjuague and trial/travel size)",$1.00,"(1.00, Downy Liquid Fabric Conditioner, 48ld to 60ld, Downy Odor Protect, Downy Wrinkle Guard, Downy Nature Blends, 44, 60ct, 5.7, Downy Unstopables, Fresh Protect, Odor Protect, 3, 1, Downy Wrinkle Releaser Spray, Downy Libre)"
"SAVE $2.00 ONE Always Radiant, Infinity, PURE, Pure Cotton, Ultra, OR Maxi Pads 10 ct OR higher (excludes Always Liners and Always Discreet).",$2.00,"(Ultra, Maxi Pads, 10)"
"SAVE $0.50 ONE Tide Simply Laundry Detergent 34 oz OR 31 oz OR Tide Simply PODS 13 ct OR Downy Liquid Fabric Conditioner 40 ld OR Bounce/Downy Sheets 40 ct TO 60 ct OR In-Wash Scent Boosters 4.3 oz OR ERA Laundry Detergent 50 oz or smaller (includes Downy Unstopables, Fresh Protect, and Odor Protect) (excludes Bounce/Downy Wrinkle Guard Sheets, Downy Libre Enjuague, Gain Fireworks, and trial/travel size).",$0.50,"(0.50, 34, 31, Tide, Downy Liquid Fabric Conditioner, 40, 60, 4.3, 50, Downy Unstopables, Odor Protect, Downy Libre, Gain Fireworks)"
SAVE $0.50 on any ONE (1) pack of Energizer® Batteries,$0.50,"(0.50, ONE, 1, Energizer)"
$0.50 OFF on ONE (1) Frigo® Cheese Heads® 8ct or larger Snack Cheese Product,$0.50,"(0.50, ONE, 1, Cheese Heads, 8ct, Snack Cheese)"
"SAVE $1.00 TWO Old Spice Anti-Perspirant/Deodorant, Body Wash OR Bar Soap (excludes twin packs, High Endurance, Body Spray and Invisible Spray and trial/travel size).",$1.00,"(1.00,)"
"SAVE $2.00 ONE Tide PODS OR Tide Power PODS (excludes Tide Liquid/Powder Laundry Detergent, Tide Simply, Tide Simply PODS, and Tide PODS 9 ct and below, and trial/travel size).",$2.00,"(2.00, Tide Power PODS, Tide Liquid/Powder Laundry Detergent, Tide Simply PODS, Tide, 9)"
"SAVE $2.00 ONE Tampax Pearl, Radiant OR PURE Tampons (14 ct or higher).",$2.00,"(2.00, Tampax Pearl, Radiant OR PURE Tampons, 14)"
"SAVE $1.50 on any ONE (1) Glade® 3-Wick Candles, Twin Pack 3.4oz Candles, PIugIn® Scented Oil Refill Pack, or Large Automatic Refills Only (Excludes 1 Count 3.4oz Candles and PlugIns® Scented Oil Warmer Only packs)",$1.50,"(1.50, ONE, 1, Glade, 3-Wick, Candles, Pack 3.4oz Candles, Oil Refill Pack, 1, Candles, PlugIns)"
$1.00 OFF on any THREE (3) noosa® yoghurts,$1.00,"(1.00, THREE, 3, noosa)"
"SAVE $2.00 ONE Downy Liquid Fabric Conditioner 72 ld or larger (includes Downy Odor Protect 48 oz or larger OR Downy Wrinkle Guard 40 oz or larger OR Downy Nature Blends 67 oz or larger) OR Bounce/Downy Sheets 130 ct or larger (includes Bounce/Downy Wrinkle Guard 80 ct or larger) OR In Wash Scent Boosters 8.6 oz or larger (includes Downy Unstopables, Fresh Protect, Odor Protect, and Infusions) (excludes Downy Libre Enjuague, Gain Fireworks, and trial/travel size).",$2.00,"(2.00, Downy Liquid Fabric, 72, Downy Odor Protect, 48, Downy Wrinkle Guard 40, Downy Nature Blends, 67, Bounce/Downy Wrinkle Guard 80, Downy Unstopables, Fresh Protect, Odor Protect, Downy Libre, Gain Fireworks)"
"SAVE $2.00 on TWO (2) Purina® Beggin®, Busy® or DentaLife® Dog Treats or Chews, any size, any variety",$2.00,"(2.00, TWO, 2, Purina, DentaLife, Treats, Chews)"
SAVE $1.00 on any TWO (2) boxes of Life cereal,$1.00,"(1.00, TWO, 2)"
SAVE $1.25 on any ONE (1) crunchy Crunchmaster® Crackers or Snacks,$1.25,"(1.25, ONE, 1)"
$1.00 OFF any THREE (3) Happy Baby Organics &amp; Happy Tot Organics pouches,$1.00,"(1.00, THREE, 3, Happy Tot Organics)"
"SAVE $1.00 ONE Gain Liquid Fabric Softener 48 ld or larger (includes Gain Botanicals) OR Gain Fireworks In Wash Scent Boosters 5.7 oz or larger OR Gain Dryer Sheets 105 ct or larger (excludes Gain Flings, Gain Detergent and trial/travel size).",$1.00,"(1.00, 48, Gain Fireworks, Gain Dryer, Gain Flings, Gain Detergent)"
"SAVE $0.50 on any one (1) Pine-Sol® product, 40oz+",$0.50,"(0.50, one, 1, Pine-Sol)"
"$0.25 OFF ONE (1) package of Keebler® Caramel Nut Dreams, Coconut Dreams, Strawberry Shortcake, or Hot Fudge Sundae cookies",$0.25,"(0.25, 1, Keebler, Coconut Dreams, Strawberry Shortcake, Hot Fudge Sundae)"
"SAVE $1.00 ONE Oral-B Glide Manual Floss, Floss Picks, Interdental Brush OR Interdental Picks (excludes trial/travel size).",$1.00,"(Floss Picks, Interdental Brush OR Interdental Picks)"
"SAVE $1.00 on Any ONE (1) BENADRYL® 20ct, 24ct or 4oz product (excludes topical, trial &amp; travel sizes)",$1.00,"(1.00, ONE, 1, BENADRYL, 20ct, 24ct, 4, trial &amp)"
"GET $2.00 off any ONE (1) Bag of PULL-UPS® Training Pants (27 ct. or lower, not valid on trial packs)",$2.00,"(2.00, 1, PULL-UPS, Training Pants, 27)"
$1.00 OFF on any ONE (1) Reser's Deli Sides 12-14oz Item,$1.00,"(1.00, ONE, 1, Reser, 12)"
SAVE $1.00 on any one (1) El Monterey® Single Serve Meals,$1.00,"(1.00, one, 1, El Monterey)"
"SAVE $2.00 ONE Always DISCREET Incontinence Product (excludes other Always Products, Always Discreet Boutique and trial/travel size).",$2.00,()
SAVE $3.00 ONE Gillette Disposable 2 ct or larger (excludes Sensor 2 ct and Venus Products).,$3.00,"(3.00, Gillette, 2, Sensor 2, Venus Products)"
"SAVE $0.50 On any ONE (1) GOOD FOODS Guacamole, Plant-based Dip, Dairy Dip, or Salsa",$0.50,"(0.50, ONE, 1, FOODS Guacamole)"
